ASV,Confidence,Kingdom,Phylum,Class,Order,Family,Genus,Species,,,,,
823ac1daf4d4231c7fc416524806e90d,0.998603188,Eukaryota,A,,Bicosoecida,Bicosoeca,,,,,,,
cc1616ddd5cab64a6ed0e47f8ddb6e39,0.999480069,Eukaryota,A,,Bicosoecida,Pseudobodo,,,,,,,
91f8054340f4d37aa540c54ee1aa9ea4,0.9996141,Eukaryota,A,,Bicosoecida,Bicosoeca,,,,,,,
dc340692a57aeb1b0adc4123b01bb278,0.999718368,Eukaryota,A,,Bicosoecida,Bicosoeca,,,,,,,
04fbaf0282b0acb3282fc4ec8f2919b6,0.999750328,Eukaryota,A,,Bicosoecida,Bicosoeca,uncultured eukaryote,,,,,,
541022ade2b508bef4fca340dd5d814e,0.999840457,Eukaryota,A,,Bicosoecida,,,,,,,,
e3fe1c3c6a170d4c74efa9150da8b629,0.999865629,Eukaryota,A,,Bicosoecida,Bicosoeca,uncultured marine eukaryote,,,,,,
6a591d7e97afd2ccf882e9bc1f64b901,0.999874812,Eukaryota,A,,Bicosoecida,Pseudobodo,,,,,,,
362ac6da68f9d0067bee7ad8848d6826,0.999936917,Eukaryota,A,,Bicosoecida,uncultured,uncultured marine eukaryote,,,,,,
0aa336ff6949c18c990b4cf4a6303adf,0.999947358,Eukaryota,A,,Bicosoecida,uncultured,uncultured marine eukaryote,,,,,,
a0d641799c676c4a219dee60a1e86f31,0.99995359,Eukaryota,A,,Bicosoecida,Pseudobodo,,,,,,,
429c1070c35242cc70a54f90b149c28f,0.999981628,Eukaryota,A,,Bicosoecida,Pseudobodo,,,,,,,
c8ee686c53f1fdb2bd9de8a60e5531ff,0.999987634,Eukaryota,A,,Bicosoecida,Pseudobodo,,,,,,,
48e54fce57fb1f4722ab518c7f4c068f,0.999990188,Eukaryota,A,,Bicosoecida,Pseudobodo,,,,,,,
bac7439c8308cdc564f5fe1f935ecb0d,0.999990524,Eukaryota,A,,Bicosoecida,uncultured,,,,,,,
a8239222b16d3d923f871209b0ad290d,0.999990954,Eukaryota,A,,Bicosoecida,Pseudobodo,,,,,,,
050ede162b55d478a1e971ebb742a849,0.999991554,Eukaryota,A,,Bicosoecida,uncultured,,,,,,,
20b9de85ffe0bc94c84a9184c404e9b3,0.999993785,Eukaryota,A,,Bicosoecida,Bicosoeca,uncultured marine eukaryote,,,,,,
1154a1ba7f1453da177964e7415efdbe,0.999993827,Eukaryota,A,,Bicosoecida,Pseudobodo,,,,,,,
082d34e59b5a4bc09393d393d81906c2,0.999994317,Eukaryota,A,,Bicosoecida,Pseudobodo,,,,,,,
9bd2a1f8dc760c2adc6971d26d100129,0.999995207,Eukaryota,A,,Bicosoecida,Pseudobodo,,,,,,,
a3ef95961648e1935fbaea55445e71d5,0.99999527,Eukaryota,A,,Bicosoecida,Bicosoeca,uncultured marine eukaryote,,,,,,
18f4fa23a09613ce55e16738d25a662c,0.999995434,Eukaryota,A,,Bicosoecida,Pseudobodo,Pseudobodo tremulans,,,,,,
67532674644ddd159327be8a5245e95e,0.999995905,Eukaryota,A,,Bicosoecida,Bicosoeca,Bicosoeca vacillans,,,,,,
9b3b4977d8fae44f83662ca98120f600,0.999996035,Eukaryota,A,,Bicosoecida,Pseudobodo,,,,,,,
e26be891a2dca56c302c07ad32b6d75e,0.999996691,Eukaryota,A,,Bicosoecida,Bicosoeca,Bicosoeca vacillans,,,,,,
5cfb68f58e55a0eecdca3442d7ec5ea6,0.99999686,Eukaryota,A,,Bicosoecida,Pseudobodo,,,,,,,
72b3979d29396c921e0914885275d17d,0.99999722,Eukaryota,A,,Bicosoecida,Bicosoeca,Bicosoeca vacillans,,,,,,
6ec2104d0858d38c2316aa1e435fb642,0.999997357,Eukaryota,A,,Bicosoecida,Pseudobodo,,,,,,,
3ff28564f8580314445f72689be20d85,0.999997386,Eukaryota,A,,Bicosoecida,Pseudobodo,,,,,,,
e9d5315432a9d62d22287dc1c43da62c,0.999997411,Eukaryota,A,,Bicosoecida,Pseudobodo,,,,,,,
4d4f8ff7b11728eb24cef81d1c228efb,0.999997515,Eukaryota,A,,Bicosoecida,Pseudobodo,,,,,,,
577c60c5c48831efd548cbada177fdc4,0.9999976,Eukaryota,A,,Bicosoecida,Pseudobodo,,,,,,,
d193ae520b034d0d49ebe669cff7a6d0,0.999997622,Eukaryota,A,,Bicosoecida,Bicosoeca,,,,,,,
19f6d2fe8d91fa23f0ac9f6753049f2e,0.99999767,Eukaryota,A,,Bicosoecida,Pseudobodo,,,,,,,
f18cd9d304fa1ed6f37d7c49572e72b6,0.999997843,Eukaryota,A,,Bicosoecida,Bicosoeca,Bicosoeca vacillans,,,,,,
102f2cec550448c1382f7650b527dd33,0.999997911,Eukaryota,A,,Bicosoecida,Pseudobodo,,,,,,,
9af781765e01422a335cff6220e04897,0.99999803,Eukaryota,A,,Bicosoecida,Pseudobodo,,,,,,,
157a9734e1bb5e00a2f32f1c4cff067b,0.99999847,Eukaryota,A,,Bicosoecida,,,,,,,,
65f867ea3f54e3b3ab1bb2a26a2a2282,0.999999446,Eukaryota,A,,Bicosoecida,uncultured,uncultured marine eukaryote,,,,,,
a08f358a0894f4ad54050629e6cf2d3c,0.999999618,Eukaryota,A,,Bicosoecida,Bicosoeca,Bicosoeca vacillans,,,,,,
9a97b39cedb5117be4508d84baf18a83,0.999999619,Eukaryota,A,,Bicosoecida,Bicosoeca,uncultured marine eukaryote,,,,,,
c1dba5ee65d8a1995163b77d78b480a5,0.999999694,Eukaryota,A,,Bicosoecida,Bicosoeca,Bicosoeca vacillans,,,,,,
2900cf1c24f29d5c6514e1b0df97d19c,0.999999798,Eukaryota,A,,Bicosoecida,Bicosoeca,Bicosoeca vacillans,,,,,,
f2f4a855373b295de9fdc1d1351d8294,0.999999834,Eukaryota,A,,Bicosoecida,Bicosoeca,uncultured marine eukaryote,,,,,,
baf98672316d6f79a363444a365d1a9b,0.999999839,Eukaryota,A,,Bicosoecida,Bicosoeca,uncultured marine eukaryote,,,,,,
33d157836fd018b1032fbafd78d13cc3,0.999999851,Eukaryota,A,,Bicosoecida,Pseudobodo,,,,,,,
358922438413aa8f5941aa01bf0afa4c,0.999999852,Eukaryota,A,,Bicosoecida,Bicosoeca,uncultured marine eukaryote,,,,,,
627aac16aba25debfe2c4088d698400f,0.99999989,Eukaryota,A,,Bicosoecida,Saccharina japonica,,,,,,,
33bebec8f0dadbb901c89a29847419ec,0.999999922,Eukaryota,A,,Bicosoecida,Bicosoeca,Bicosoeca vacillans,,,,,,
ea0ff58a499d91a8ea59a35f1ef82fea,0.999999928,Eukaryota,A,,Bicosoecida,Bicosoeca,uncultured marine eukaryote,,,,,,
79414312c67871dfb2553ab1d6614de9,0.999999936,Eukaryota,A,,Bicosoecida,Bicosoeca,uncultured marine eukaryote,,,,,,
ecfa544b79ea3f25f82fa22cd013a440,0.999999941,Eukaryota,A,,Bicosoecida,Bicosoeca,uncultured marine eukaryote,,,,,,
5c938bf7a79c9d2d8cad392ac8e6ea61,0.999999986,Eukaryota,A,,Bicosoecida,,,,,,,,
734fee1cf34ab9ad8b717b3ed8ef073d,0.999999986,Eukaryota,A,,Bicosoecida,Rictus,uncultured marine eukaryote,,,,,,
3c70d9bda05b9a8128c52228728b210c,0.999999986,Eukaryota,A,,Bicosoecida,uncultured,,,,,,,
d57081489b1f9ec2351f4f3c0058023c,0.999999987,Eukaryota,A,,Bicosoecida,Bicosoeca,Bicosoeca kenaiensis,,,,,,
c1616403ce581d893bc824336180638f,0.999999989,Eukaryota,A,,Bicosoecida,Bicosoeca,uncultured stramenopile,,,,,,
e6c4891e6e39d2e395056eb849f8df06,0.999999992,Eukaryota,A,,Bicosoecida,Rictus,uncultured marine eukaryote,,,,,,
c9966de2cfb0a0248691ef0ea70ef621,0.999999997,Eukaryota,A,,Bicosoecida,Rictus,uncultured marine eukaryote,,,,,,
9184f6c9c35f7fccb6fa114127fe13e9,0.999999997,Eukaryota,A,,Bicosoecida,Bicosoeca,uncultured stramenopile,,,,,,
3803ba4eb876b1157e81f0745305f3b3,0.999999997,Eukaryota,A,,Bicosoecida,Bicosoeca,Bicosoeca vacillans,,,,,,
9a7dd2af2820bcef27c014280054447f,0.999999998,Eukaryota,A,,Bicosoecida,Bicosoeca,Bicosoeca vacillans,,,,,,
7b1534d1e389789a1a19c56004e5e37c,0.999999999,Eukaryota,A,,Bicosoecida,Saccharina japonica,,,,,,,
d553cc766365259ff5bb6396a2c4c4e5,0.999999999,Eukaryota,A,,Bicosoecida,Bicosoeca,Bicosoeca vacillans,,,,,,
25b95e63a0fd4ccbad953a2bf5f02d8d,1,Eukaryota,A,,Bicosoecida,Bicosoeca,uncultured stramenopile,,,,,,
46c7b27294a39fd215adf7d6d3308cfd,1,Eukaryota,A,,Bicosoecida,Bicosoeca,Bicosoeca kenaiensis,,,,,,
1a88e088bb3b944e461ae5101af12746,1,Eukaryota,A,,Bicosoecida,Cafeteria,uncultured marine eukaryote,,,,,,
84ae86098d4ffac08402e911f2cadbd7,1,Eukaryota,A,,Bicosoecida,,,,,,,,
569efb5863a3b94c8a53d8be3bd26d18,1,Eukaryota,A,,Bicosoecida,Bicosoeca,Bicosoeca kenaiensis,,,,,,
1b11cf5b3f09bb19fa82f439915054fb,1,Eukaryota,A,,Bicosoecida,Bicosoeca,Bicosoeca kenaiensis,,,,,,
eea2f1b86b752e4fe5599b95c38b6042,1,Eukaryota,A,,Bicosoecida,Cafeteria,Symbiomonas scintillans,,,,,,
fb6606186d107f798d31a2d545cc98f4,1,Eukaryota,A,,Bicosoecida,Rictus,Rictus lutensis,,,,,,
703adb9af70a3166f2362d33df52a220,1,Eukaryota,A,,Bicosoecida,Rictus,Rictus lutensis,,,,,,
afea5d6abd04793fe2cda485edcdf69d,1,Eukaryota,Amoebozoa,Archamoebae,Incertae Sedis,Rhizomastix,Clydonella sp. ATCC 50884,,,,,,
cf92500e80dac264ff39a326b78e8d6b,0.978248994,Eukaryota,Amoebozoa,Discosea,Flabellinia,Stygamoebida,Vermistella,uncultured eukaryote,,,,,
baa3179c291cfc3dac8bfa2b166e1f36,0.98097109,Eukaryota,Amoebozoa,Discosea,Flabellinia,Stygamoebida,Vermistella,uncultured eukaryote,,,,,
c4cd2764ae1c518e37ca35f780844f9f,0.981502784,Eukaryota,Amoebozoa,Discosea,Flabellinia,Stygamoebida,Vermistella,uncultured eukaryote,,,,,
31e2343fbedc8fd08fc0146b2c434ea1,0.994540166,Eukaryota,Amoebozoa,Discosea,Flabellinia,Dactylopodida,Parvamoeba,Parvamoeba rugata,,,,,
18b4cf8794eff84dd45102a60bbc4bbf,0.996113395,Eukaryota,Amoebozoa,Discosea,Flabellinia,Stygamoebida,Vermistella,uncultured eukaryote,,,,,
fddf30c84f694a881f7d8fda974c1e84,0.996189867,Eukaryota,Amoebozoa,Discosea,Flabellinia,Stygamoebida,Vermistella,uncultured eukaryote,,,,,
d0c3541f82d490156ffe11f80a521f2b,0.998058328,Eukaryota,Amoebozoa,Discosea,Flabellinia,Stygamoebida,Vermistella,uncultured eukaryote,,,,,
095bb560467b9b642d79bbff22c8119c,0.998663867,Eukaryota,Amoebozoa,Discosea,metagenome,,,,,,,,
8da9783259edbcd972a8eabe2295a7c8,0.999546177,Eukaryota,Amoebozoa,Discosea,Flabellinia,Stygamoebida,Vermistella,uncultured eukaryote,,,,,
898821abaa8f1dd3475d7c5b3835fc17,0.999676926,Eukaryota,Amoebozoa,Discosea,Flabellinia,Vannellida,Platyamoeba,,,,,,
4a28c5f8acdf391bb1384e61daa59222,0.999854938,Eukaryota,Amoebozoa,Discosea,metagenome,,,,,,,,
0fe841c131f64d9971eb0d4b02846ab2,0.999867688,Eukaryota,Amoebozoa,Discosea,Flabellinia,Dactylopodida,Parvamoeba,Parvamoeba rugata,,,,,
a8a7686edff776da06c603bbb2b05ead,0.999888984,Eukaryota,Amoebozoa,Discosea,Flabellinia,Dactylopodida,Parvamoeba,Parvamoeba rugata,,,,,
68ea8bd8270203c9844472b824d66b28,0.999897521,Eukaryota,Amoebozoa,Discosea,Flabellinia,Vannellida,Platyamoeba,,,,,,
8802304c9e2796e809b41bec538b8937,0.999902025,Eukaryota,Amoebozoa,Discosea,metagenome,,,,,,,,
78c6c0e0e14cb6cf6bd3d1b373c68b5b,0.999931666,Eukaryota,Amoebozoa,Discosea,Flabellinia,Vannellida,uncultured,,,,,,
6e574ddf0bac7ca45ed96753298652d5,0.999946327,Eukaryota,Amoebozoa,Discosea,Flabellinia,Dactylopodida,Parvamoeba,Parvamoeba rugata,,,,,
ce0a49b1d57ef3f9d2df0d9ffcdd539b,0.999950627,Eukaryota,Amoebozoa,Discosea,Flabellinia,Vannellida,Platyamoeba,,,,,,
6dadeac523fac7b8eac0b1728d80f5d8,0.999950746,Eukaryota,Amoebozoa,Discosea,Flabellinia,Dactylopodida,Parvamoeba,Parvamoeba rugata,,,,,
ad98d2cdf981686a7d042f4fc560fe89,0.999955256,Eukaryota,Amoebozoa,Discosea,Flabellinia,Dactylopodida,Parvamoeba,Parvamoeba rugata,,,,,
657111b7f36c405060a300736463914e,0.999955746,Eukaryota,Amoebozoa,Discosea,metagenome,,,,,,,,
3a5a4c10296f30470e949149fb12afd7,0.99995988,Eukaryota,Amoebozoa,Discosea,metagenome,,,,,,,,
e08277d0c3fe18cc66766fec628aca79,0.999960843,Eukaryota,Amoebozoa,Discosea,metagenome,,,,,,,,
b360a78421844fda9c6fcf0016c259da,0.99996335,Eukaryota,Amoebozoa,Discosea,Flabellinia,Dactylopodida,Parvamoeba,Parvamoeba rugata,,,,,
0577d3e62791a9a3655569660667f98a,0.999965087,Eukaryota,Amoebozoa,Discosea,Flabellinia,Dactylopodida,Parvamoeba,Parvamoeba rugata,,,,,
5d31991e6ef8b58fe14f048395e2dd3a,0.999965753,Eukaryota,Amoebozoa,Discosea,Flabellinia,Dactylopodida,Parvamoeba,Parvamoeba rugata,,,,,
149acc1a3af78948bde02531354a3cd5,0.999966573,Eukaryota,Amoebozoa,Discosea,Flabellinia,Dactylopodida,Parvamoeba,Parvamoeba rugata,,,,,
fec25de1af98f178c77c613ab6e34659,0.99997298,Eukaryota,Amoebozoa,Discosea,metagenome,,,,,,,,
6912002be7b4d70ea7c1dcd14dc54c10,0.99997521,Eukaryota,Amoebozoa,Discosea,Flabellinia,Dactylopodida,Parvamoeba,Parvamoeba rugata,,,,,
5d16f5c02dde89b0838d9cd7e1d3de0c,0.999975379,Eukaryota,Amoebozoa,Discosea,metagenome,,,,,,,,
a24e49805d6e6595c2eecf249dbb48b5,0.999976755,Eukaryota,Amoebozoa,Discosea,metagenome,,,,,,,,
ecb3115edbc5b6723e30938690bb6c32,0.999977945,Eukaryota,Amoebozoa,Discosea,Flabellinia,Vannellida,Vannella,,,,,,
787f1d6f50bf93ab094debc1d0a7c519,0.999980788,Eukaryota,Amoebozoa,Discosea,Flabellinia,Vannellida,Vannella,,,,,,
77f13576f2a4999231348010cd83203f,0.999981326,Eukaryota,Amoebozoa,Discosea,Flabellinia,Vannellida,Vannella,,,,,,
92dafad7492b4ca3a755f8cfa5ddab44,0.999986085,Eukaryota,Amoebozoa,Discosea,Flabellinia,Dactylopodida,Parvamoeba,Parvamoeba rugata,,,,,
35f424a1b21805103a9cf157b47d5ea7,0.999987224,Eukaryota,Amoebozoa,Discosea,Flabellinia,Dactylopodida,Parvamoeba,Parvamoeba rugata,,,,,
5fc4b5ea47ace76c267ef46de69e63e0,0.99998842,Eukaryota,Amoebozoa,Discosea,Flabellinia,Dactylopodida,Parvamoeba,Parvamoeba rugata,,,,,
ea9c7bc60f2614a519fd9f5bda2c7569,0.9999888,Eukaryota,Amoebozoa,Discosea,metagenome,,,,,,,,
4b0f579a011701fd71a31892ffeb95e0,0.999988947,Eukaryota,Amoebozoa,Discosea,Flabellinia,Dactylopodida,Parvamoeba,Parvamoeba rugata,,,,,
d705b23489851a457babac80a457a29b,0.999989153,Eukaryota,Amoebozoa,Discosea,Flabellinia,Dactylopodida,Parvamoeba,Parvamoeba rugata,,,,,
24d8d26abd5209f178d00a4285569ce5,0.999990227,Eukaryota,Amoebozoa,Discosea,Flabellinia,Dactylopodida,Parvamoeba,Parvamoeba rugata,,,,,
0dbb47a55461afd6e78fa86e4b1fee5d,0.999990623,Eukaryota,Amoebozoa,Discosea,Flabellinia,Dactylopodida,Parvamoeba,Parvamoeba rugata,,,,,
86ffadc794553fd735f027cdac92e87f,0.999990744,Eukaryota,Amoebozoa,Discosea,Flabellinia,Dactylopodida,Parvamoeba,Parvamoeba rugata,,,,,
0cf38053c4dc7c9a2166732ef0bea66e,0.999991975,Eukaryota,Amoebozoa,Discosea,Flabellinia,Dactylopodida,Parvamoeba,Parvamoeba rugata,,,,,
21347f81885ea9e227554c93af70d5a0,0.999992497,Eukaryota,Amoebozoa,Discosea,Flabellinia,Dactylopodida,Parvamoeba,Parvamoeba rugata,,,,,
7f9933ee17790a3a0e0e1625dedcefb2,0.999992696,Eukaryota,Amoebozoa,Discosea,metagenome,,,,,,,,
81e1b1152cc329406217f88d9a30db4b,0.999992957,Eukaryota,Amoebozoa,Discosea,metagenome,,,,,,,,
f9110e76b707a70c0802a9cf30df3055,0.999993793,Eukaryota,Amoebozoa,Discosea,Flabellinia,Dactylopodida,Parvamoeba,Parvamoeba rugata,,,,,
5ead88dca06c52e111c63f90906d6527,0.99999433,Eukaryota,Amoebozoa,Discosea,Flabellinia,Dactylopodida,Parvamoeba,Parvamoeba rugata,,,,,
816dbbd33f08c6d36e71bb161e4b18db,0.99999522,Eukaryota,Amoebozoa,Discosea,Flabellinia,Vannellida,Vannella,,,,,,
b017ff2a64b290796fca629b41a54973,0.99999535,Eukaryota,Amoebozoa,Discosea,Flabellinia,Stygamoebida,Vermistella,,,,,,
5a119ffd102308b867dcd450d3d45a72,0.99999587,Eukaryota,Amoebozoa,Discosea,Flabellinia,Dactylopodida,Parvamoeba,Parvamoeba rugata,,,,,
c2ab0db4733e4160712f2283cec1219c,0.99999589,Eukaryota,Amoebozoa,Discosea,Flabellinia,Dactylopodida,Parvamoeba,Parvamoeba rugata,,,,,
a53e6e124e289552471c82664d81d918,0.999995955,Eukaryota,Amoebozoa,Discosea,Flabellinia,Dactylopodida,Parvamoeba,Parvamoeba rugata,,,,,
905fb59566428d0af26748c97733bbd7,0.999996035,Eukaryota,Amoebozoa,Discosea,Flabellinia,Stygamoebida,Vermistella,,,,,,
14696a1067dc5db66ed3dbf55d8d81a1,0.99999609,Eukaryota,Amoebozoa,Discosea,Flabellinia,Dactylopodida,Parvamoeba,Parvamoeba rugata,,,,,
786188c9014151397cfbea7ec4b0f4cb,0.999996107,Eukaryota,Amoebozoa,Discosea,Flabellinia,Dactylopodida,Parvamoeba,Parvamoeba rugata,,,,,
f5f0835543550faec079f632cc102b19,0.999996133,Eukaryota,Amoebozoa,Discosea,Flabellinia,Dactylopodida,Parvamoeba,Parvamoeba rugata,,,,,
55d491f211a34b5c3df7ebb49af28f62,0.999996147,Eukaryota,Amoebozoa,Discosea,Flabellinia,Stygamoebida,Vermistella,,,,,,
b48abeb1be22b5e5c129b3b57e104034,0.999996178,Eukaryota,Amoebozoa,Discosea,Flabellinia,Dactylopodida,Parvamoeba,Parvamoeba rugata,,,,,
df8cb1ce19789f115b8b45e4ef3377be,0.999996358,Eukaryota,Amoebozoa,Discosea,Flabellinia,Stygamoebida,Vermistella,,,,,,
540ac2032e2097c52597d59ed395d372,0.999996453,Eukaryota,Amoebozoa,Discosea,Flabellinia,Dactylopodida,Parvamoeba,Parvamoeba rugata,,,,,
9874a62f6c4d4b581b5361121f0fb325,0.999996744,Eukaryota,Amoebozoa,Discosea,Flabellinia,Stygamoebida,Vermistella,,,,,,
f6332f95b438fa8aac32d52d281ec428,0.999996889,Eukaryota,Amoebozoa,Discosea,Flabellinia,Dactylopodida,Parvamoeba,Parvamoeba rugata,,,,,
46f8e2b00b1660c7a5106b810888b188,0.99999692,Eukaryota,Amoebozoa,Discosea,Flabellinia,Dactylopodida,Parvamoeba,Parvamoeba rugata,,,,,
a1bc5b43c10d2c9e7736ef08c0d87447,0.999997035,Eukaryota,Amoebozoa,Discosea,Flabellinia,Dactylopodida,Parvamoeba,Parvamoeba rugata,,,,,
14ec64b27cc757542ef7c66a4743b66a,0.999997498,Eukaryota,Amoebozoa,Discosea,Flabellinia,Dactylopodida,Parvamoeba,Parvamoeba rugata,,,,,
180192c0bb18fa214bdcd3799cea5ba1,0.999997694,Eukaryota,Amoebozoa,Discosea,Flabellinia,Dactylopodida,Parvamoeba,Parvamoeba rugata,,,,,
a3615b8de5669b8592e9813e8d800db3,0.999997907,Eukaryota,Amoebozoa,Discosea,Flabellinia,Dactylopodida,Parvamoeba,Parvamoeba rugata,,,,,
7a44404fcfb1e3bfb8c3ae3ac07785b9,0.999998498,Eukaryota,Amoebozoa,Discosea,Flabellinia,Dactylopodida,Parvamoeba,Parvamoeba rugata,,,,,
e08030a4f69c0039fabe22b816ee9678,0.999998967,Eukaryota,Amoebozoa,Discosea,metagenome,,,,,,,,
8677b0a30f7248a218fdcb5ebc482124,0.999998982,Eukaryota,Amoebozoa,Discosea,metagenome,,,,,,,,
83007143d5139bc185619d8a13cb28f9,0.999999538,Eukaryota,Amoebozoa,Discosea,Flabellinia,Dactylopodida,Parvamoeba,Parvamoeba rugata,,,,,
e780cab243e6b58732b32f1667a4c5ef,0.999999612,Eukaryota,Amoebozoa,Discosea,Flabellinia,Dactylopodida,Parvamoeba,Parvamoeba rugata,,,,,
106e11c83f2ea6ecd25b7c57a38b3bef,0.999999699,Eukaryota,Amoebozoa,Discosea,Flabellinia,Dactylopodida,Parvamoeba,Parvamoeba rugata,,,,,
63769cef89510c4441fc2b4326303965,0.999999707,Eukaryota,Amoebozoa,Discosea,Flabellinia,Dactylopodida,Parvamoeba,Parvamoeba rugata,,,,,
e42196a386c37e814c8817d1b0735eb9,0.999999745,Eukaryota,Amoebozoa,Discosea,Flabellinia,Dactylopodida,Parvamoeba,Parvamoeba rugata,,,,,
c1d41a5213fb6120d950a57914f2e5d0,0.999999785,Eukaryota,Amoebozoa,Discosea,Flabellinia,Dactylopodida,Parvamoeba,Parvamoeba rugata,,,,,
f96442033fcc67b2192f83a36ffe2277,0.999999806,Eukaryota,Amoebozoa,Discosea,metagenome,,,,,,,,
e2a9e1dd7bfd9a1bb9efc3465a239ada,0.999999812,Eukaryota,Amoebozoa,Discosea,Flabellinia,Dactylopodida,Parvamoeba,Parvamoeba rugata,,,,,
0206aff0c04b7c2060a529a95b767500,0.999999873,Eukaryota,Amoebozoa,Discosea,Flabellinia,Stygamoebida,Vermistella,,,,,,
84adacf8550f35a28cdfae0f8d0c9c29,0.999999875,Eukaryota,Amoebozoa,Discosea,Flabellinia,Dactylopodida,Parvamoeba,Parvamoeba rugata,,,,,
51d19928c26113eac66173fc51a759aa,0.999999879,Eukaryota,Amoebozoa,Discosea,Flabellinia,Dactylopodida,Parvamoeba,Parvamoeba rugata,,,,,
d646e8c7567bb9e6b6f4a778542be632,0.999999911,Eukaryota,Amoebozoa,Discosea,metagenome,,,,,,,,
532f915ade87f2a0c819266afd666720,0.999999911,Eukaryota,Amoebozoa,Discosea,Flabellinia,Dactylopodida,Parvamoeba,Parvamoeba rugata,,,,,
6c613deff6ae698fd645206678843592,0.999999937,Eukaryota,Amoebozoa,Discosea,metagenome,,,,,,,,
